,Reigion Name,Country,Urbanisation,iso_3166_2_code,Reigion Area (ha),"COVID-19 Death Rate April-May (per 100,000)",Gross Income Per Head (2018 pounds),Mobility Retail & Recreation Average Post Lockdown (% from baseline),Mobility Retail & Recreation Rate of Change Post Lockdown (% from baseline per day),Mobility Parks Average Post lockdown (% from baseline),Mobility Park Rate of Change Post lockdown  (% from baseline per day),Mobility Grocery & Pharmacy Average Post Lockdown (% from baseline),Mobility Grocery & Pharmacy Rate of Change Post Lockdown (% from baseline per day),Mobility Transit Stations Average Post lockdown (% from baseline),Mobility Transit Station Rate of Change Post lockdown  (% from baseline per day),Mobility Workplaces Average Post lockdown (% from baseline),Mobility Workplaces Rate of Change Post lockdown  (% from baseline per day),Mobility Residential Average Post Lockdown (% from Baseline),Mobility Residential Rate of Change Post Lockdown (% from Baseline),Greenspace Number,Greenspace Area (ha),Greenspace Average Area (ha),Greenspace Fraction,Greenspace (non-sport) Number,Greenspace (non-sport) Area (ha),Greenspace (non-sport) Average Area (ha),Greenspace (non-sport) Fraction,Greenspace (sport) Number,Greenspace (sport) Area (ha),Greenspace (sport) Average Area (ha),Greenspace (sport) Fraction,Alloments Number,Alloments Area (ha),Alloments Average Area (ha),Alloments Fraction,Bowling Number,Bowling Area (ha),Bowling Average Area (ha),Bowling Fraction,Cemetery Number,Cemetery Area (ha),Cemetery Average Area (ha),Cemetery Fraction,Golf Course Number,Golf Course Area (ha),Golf Course Average Aera,Golf Course Fraction,Other Sport Number,Other Sport Area (ha),Other Sport Average Area (ha),Other Sport Fraction,Religious Grounds Number,Religious Grounds Area (ha),Religious Grounds Average Area (ha),Religious Grounds Fraction,Tennis Court Number,Tennis Court Area (ha),Tennis Court Average Area (ha),Tennis Court Fraction,Public Park or Garden Number,Public Park or Garden Area (ha),Public Park or Garden Average Area (ha),Public Park or Garden Fraction,Playing Field Number,Playing Field Area (ha),Playing Field Average Area (ha),Playing Field Fraction,Play Space Number,Play Space Area (ha),Play Space Average Aera,Play Space Fraction
109,South Lanarkshire,Scotland,Rural,GB-SLK,0,,19072,-60.06451613,0.257452777,23.20454545,0.743787736,-18.40860215,0.181298678,-53.92473118,0.257960073,-57.2688172,0.262645102,20.96774194,-0.090209185,863,2073.460869,2.402619779,0.01161494,690,1105.128216,1.601635095,0.006190615,278,1217.440591,4.379282702,0.006819757,8,5.18642343,0.648302929,2.91E-05,50,24.49432257,0.489886451,0.00013721,42,81.43143657,1.938843728,0.000456156,23,768.418365,33.40949413,0.004304462,83,172.9217512,2.083394593,0.000968659,92,31.28607977,0.340066084,0.000175256,17,2.49821489,0.146953817,1.40E-05,61,710.8269333,11.65290055,0.003981851,105,249.1079374,2.372456547,1,382,27.2894051,0.071438233,1
110,South Yorkshire,England,Urban,,0,31,16541,-68.76344086,0.268613291,16.34408602,0.861164991,-22.29032258,0.227984841,-58.46236559,0.247336695,-52.08602151,0.295112053,19.46236559,-0.104920772,2670,7040.527748,2.636901778,0.045361506,2069,4771.519514,2.306195995,0.030742484,1049,3646.8265,3.476479028,0.023496185,374,498.5599693,1.333048046,0.003212178,146,39.84339861,0.27289999,0.000256708,110,272.9783931,2.481621755,0.001758776,47,1791.859543,38.12467112,0.011544795,340,427.6989083,1.257937966,0.002755627,315,133.606202,0.424146673,0.000860813,68,9.606384895,0.141270366,6.19E-05,235,2415.60675,10.27917766,0.015563544,448,1377.818266,3.0754872,1,587,72.94993373,0.124275867,1
111,Southampton,England,Urban,GB-STH,0,24.9,16994,-74.03225806,0.193085852,4.172043011,0.909537167,-21.46236559,0.228342932,-59.74193548,0.230625765,-55.3655914,0.257452777,20.58241758,-0.128279431,290,613.4559241,2.115365256,0.118920982,235,465.4866893,1.980794423,0.090236531,79,241.0160913,3.050836599,0.046721972,29,47.61728054,1.641975191,0.009230808,8,2.861507145,0.357688393,0.000554715,5,38.92618446,7.785236891,0.007546003,1,51.54512014,51.54512014,0.009992236,33,91.98997557,2.787575017,0.017832639,31,12.22617559,0.394392761,0.002370095,13,1.57263197,0.12097169,0.000304861,27,261.769574,9.695169408,0.050745121,24,93.04685652,3.876952355,1,119,11.90061817,0.100005195,1
112,Southend-on-Sea,England,Urban,GB-SOS,0,23.3,21064,-67.23655914,0.373399779,26.77941176,1.384273639,-16.55913978,0.205484766,-60.67741935,0.358374862,-56.61290323,0.314792158,23.43939394,-0.121611583,178,349.1510098,1.961522527,0.101485203,112,187.532666,1.674398803,0.054508766,76,184.3756178,2.42599497,0.053591129,12,17.8493532,1.4874461,0.005188143,13,5.296433594,0.407417969,0.001539476,3,11.23277353,3.744257842,0.003264949,4,118.0857231,29.52143079,0.034323124,26,33.85430057,1.302088483,0.009840185,27,8.865095066,0.328336854,0.002576753,23,4.38188646,0.190516803,0.001273651,17,119.3345627,7.019680158,0.034686116,10,22.75727398,2.275727398,1,43,7.493607516,0.174269942,1
113,Staffordshire,England,Rural,GB-STS,0,19.7,18841,-65.60215054,0.291367014,7.935483871,0.902226135,-22.10752688,0.233565098,-51.37634409,0.366088747,-53.12903226,0.333785921,20.23655914,-0.116663185,2127,8082.136206,3.799781949,0.030574059,1668,5428.39007,3.254430497,0.020535155,855,3599.748281,4.210231908,0.013617553,173,140.869171,0.814272665,0.000532897,109,24.66190431,0.226256003,9.33E-05,93,159.4063572,1.714046851,0.000603021,67,2047.648961,30.56192479,0.007746088,208,567.7517776,2.729575854,0.002147758,320,153.8340598,0.480731437,0.000581942,75,13.68349307,0.182446574,5.18E-05,157,3983.131428,25.37026387,0.01506786,396,946.0021452,2.388894306,1,529,45.14690861,0.085343873,1
114,Stirling,Scotland,Rural,GB-STG,0,:,21561,-72.13978495,0.244800215,-20.4673913,0.739225249,-27.92473118,0.230655606,-67.59139785,0.228701024,-62.37634409,0.264375877,,,359,1149.177584,3.201051766,0.005055947,294,708.9657397,2.411448094,0.003119181,108,539.85297,4.998638611,0.002375149,5,5.13785223,1.027570446,2.26E-05,24,6.18544523,0.257726885,2.72E-05,47,32.85210035,0.698980859,0.000144537,13,398.2006174,30.63081672,0.001751932,26,35.49800881,1.365308031,0.000156178,51,26.73239015,0.524164513,0.000117612,2,0.32777275,0.163886375,1.44E-06,53,529.3580777,9.987888258,0.002328975,43,99.64112581,2.317235484,1,95,15.24419352,0.160465195,1
115,Stockton-on-Tees,England,Urban,GB-STT,0,35.4,17243,-63.61290323,0.311748381,-2.202380952,0.78870726,-23.93548387,0.225269315,-34.96774194,0.66436394,-50.03225806,0.315702307,20.21917808,-0.11965724,258,1063.756684,4.123087924,0.047873795,195,722.0114581,3.702622862,0.032493735,106,478.9094679,4.518013848,0.021553062,28,38.53779633,1.376349869,0.001734373,11,3.77010416,0.342736742,0.000169672,8,36.34565815,4.543207269,0.001635717,7,283.5688443,40.5098349,0.012761863,35,52.69624949,1.505607128,0.002371566,45,17.32737299,0.385052733,0.000779809,10,1.710028295,0.17100283,7.70E-05,24,485.4911981,20.22879992,0.021849269,43,137.1642417,3.189866086,1,47,7.145190856,0.152025337,1
116,Stoke-on-Trent,England,Urban,GB-STE,0,34,15485,-65.56989247,0.294351109,11.44594595,0.611190241,-22.19354839,0.232460983,-61.5483871,0.253842022,-49.47311828,0.302706574,18.21505376,-0.116961595,600,1844.584162,3.074306937,0.164265481,451,1562.20095,3.463860199,0.139118451,232,490.15509,2.112737457,0.043649709,76,73.33795836,0.964973136,0.006530954,39,9.158321775,0.234828763,0.000815575,13,89.96960582,6.920738909,0.00801205,7,195.1699394,27.88141991,0.01738044,91,75.99262761,0.83508382,0.00676736,53,28.52393881,0.538187525,0.002540138,12,2.062323715,0.17186031,0.000183656,124,1154.04144,9.306785808,0.102770682,83,207.7718775,2.503275633,1,102,8.55612905,0.083883618,1
117,Suffolk,England,Rural,GB-SFK,0,15.3,20381,-67.22580645,0.29533586,7.096774194,1.157037988,-25.39784946,0.294679359,-45.03225806,0.452344006,-51.47311828,0.30572051,19.43010753,-0.112754021,2666,5504.055553,2.064536967,0.014492695,2230,3620.555888,1.623567663,0.009533263,822,2741.637545,3.33532548,0.007218989,254,239.7197398,0.943778503,0.000631205,132,30.24209016,0.229106744,7.96E-05,134,140.1832281,1.046143493,0.000369116,43,1566.234736,36.42406363,0.004124043,160,275.0781413,1.719238383,0.000724307,591,268.5180145,0.454345202,0.000707033,101,11.94469706,0.118264327,3.15E-05,173,2046.201546,11.8277546,0.005387841,386,858.1378802,2.22315513,1,692,67.79548002,0.097970347,1
118,Surrey,England,Rural,GB-SRY,0,17.7,30359.5,-69.86021505,0.204186685,7.376344086,1.017680762,-25.66666667,0.21378055,-62.97849462,0.299319626,-61.39784946,0.310882994,24.43010753,-0.118468563,2682,10715.12769,3.995200482,0.063425203,1952,5026.390408,2.574995086,0.029752313,1190,6991.069519,5.874848335,0.041381682,213,221.0979367,1.038018482,0.001308727,93,25.15030468,0.270433384,0.00014887,93,301.4612747,3.241519083,0.001784416,100,4963.61241,49.6361241,0.029380716,275,654.5298563,2.380108569,0.003874307,316,162.0855701,0.512929019,0.00095942,262,45.44471386,0.173453106,0.000268997,254,2987.624946,11.76230294,0.017684411,460,1302.332234,2.83115703,1,616,51.78844637,0.084072153,1
